BveTs Vehicle Performance Table 1.00,,,,,
#,cMax,,,,
56,2.270963839,113.559532,140.2794218,163.6593255,163.6593255
57,2.231122368,113.559532,140.2794218,163.6593255,163.6593255
58,2.192654741,113.559532,140.2794218,163.6593255,163.6593255
59,2.155491102,113.559532,140.2794218,163.6593255,163.6593255
60,2.11956625,113.559532,140.2794218,163.6593255,163.6593255
61,2.084819262,113.4141679,140.2794218,163.6593255,163.6593255
62,2.051193145,111.5849071,140.2794218,163.6593255,163.6593255
63,2.018634524,109.8137181,140.2794218,163.6593255,163.6593255
64,1.987093359,108.0978787,140.2794218,163.6593255,163.6593255
65,1.956522692,106.4348345,140.2794218,163.6593255,163.6593255
66,1.926878409,104.8221854,139.4467082,163.6593255,163.6593255
67,1.89811903,103.2576752,137.3654141,163.6593255,163.6593255
68,1.870205515,101.73918,135.3453345,163.6593255,163.6593255
69,1.843101087,100.2646991,133.3838079,163.6593255,163.6593255
70,1.816771071,98.83234628,131.4783249,163.6593255,163.6593255
71,1.791182746,97.4403414,129.6265175,163.6593255,163.6593255
72,1.766305208,96.08700333,127.8261492,163.6593255,163.6593255
73,1.742109246,94.77074301,126.0751061,163.6593255,163.6593255
74,1.71856723,93.49005729,124.3713884,163.6593255,163.6593255
75,1.695653,92.24352319,122.7131033,163.6593255,163.6593255
76,1.673341776,91.02979263,121.0984572,163.6593255,163.6593255
77,1.651610065,89.84758753,119.5257499,163.6593255,163.6593255
78,1.630435577,88.69569538,117.9933685,163.6593255,163.6593255
79,1.609797152,87.57296506,116.4997816,163.6593255,163.6593255
80,1.589674687,86.478303,115.0435343,163.6593255,163.6593255
81,1.570049074,85.41066962,113.6232438,163.6593255,163.6593255
82,1.550902134,84.36907609,112.2375944,163.6593255,163.6593255
83,1.532216566,83.3525812,110.8853343,163.6593255,163.6593255
84,1.513975893,82.36028857,109.5652708,162.1118802,163.6593255
85,1.496164412,81.391344,108.2762676,160.2046816,163.6593255
86,1.478767151,80.44493302,107.0172412,158.3418365,163.6593255
87,1.461769828,79.52027862,105.787158,156.5218154,163.6593255
88,1.445158807,78.61663909,104.5850312,154.7431584,163.6593255
89,1.428921067,77.73330606,103.4099185,153.0044712,163.6593255
90,1.413044167,76.86960266,102.2609194,151.3044215,163.6593255
91,1.397516209,76.02488175,101.137173,149.6417356,163.6593255
92,1.382325815,75.19852434,100.0378559,148.015195,163.6593255
93,1.367462097,74.38993806,98.96218004,146.4236337,163.6593255
94,1.352914628,73.59855574,97.90939089,144.8659355,163.6593255
95,1.338673421,72.8238341,96.87876573,143.3410309,163.6593255
96,1.324728906,72.0652525,95.86961192,141.8478952,163.6593255
97,1.311071907,71.32231175,94.8812654,140.3855457,163.6593255
98,1.297693622,70.59453306,93.91308923,138.9530402,162.2117028
99,1.284585606,69.88145697,92.96447216,137.5494741,160.5732007
100,1.27173975,69.1826424,92.03482744,136.1739794,158.9674687
101,1.259148267,68.49766574,91.12359153,134.8257222,157.3935334
102,1.246803676,67.82612,90.23022298,133.5039014,155.8504596
103,1.234698786,67.16761398,89.3542014,132.207747,154.3373483
104,1.222826683,66.52177153,88.49502639,130.9365186,152.8533353
105,1.211180714,65.88823085,87.65221661,129.6895042,151.3975893
106,1.199754481,65.26664377,86.82530891,128.4660183,149.9693101
107,1.188541822,64.65667514,86.01385742,127.2654013,148.5677278
108,1.177536805,64.05800222,85.21743282,126.0870179,147.1921007
109,1.166733716,63.47031412,84.43562151,124.9302563,145.8417144
110,1.156127045,62.89331127,83.66802495,123.7945267,144.5158807
111,1.145711486,62.32670486,82.91425896,122.6792607,143.2139358
112,1.13548192,61.77021643,82.17395307,121.5839102,141.9352399
113,1.125433407,61.22357734,81.44674995,120.5079464,140.6791759
114,1.115561184,60.68652842,80.73230477,119.4508591,139.445148
115,1.105860652,60.15881947,80.03028473,118.412156,138.2325815
116,1.096327371,59.64020896,79.34036848,117.3913615,137.0409213
117,1.086957051,59.13046359,78.66224568,116.3880166,135.8696314
118,1.077745551,58.62935796,77.99561648,115.4016774,134.7181938
119,1.068688865,58.13667428,77.34019113,114.4319154,133.5861082
120,1.059783125,57.652202,76.69568953,113.4783161,132.4728906
121,1.051024587,57.17573752,76.06184086,112.5404788,131.3780733
122,1.042409631,56.70708393,75.43838315,111.6180159,130.3012039
123,1.033934756,56.24605073,74.82506296,110.7105523,129.2418445
124,1.025596573,55.79245355,74.22163503,109.8177253,128.1995716
125,1.0173918,55.34611392,73.62786195,108.9391835,127.173975
126,1.009317262,54.90685904,73.04351384,108.0745868,126.1646577
127,1.001369882,54.47452157,72.46836806,107.2236058,125.1712352
128,0.99354668,54.04893937,71.90220894,106.3859214,124.193335
129,0.985844767,53.62995535,71.34482747,105.5612243,123.2305959
130,0.978261346,53.21741723,70.79602111,104.7492149,122.2826683
131,0.970793702,52.8111774,70.25559347,103.9496026,121.3492128
132,0.963439204,52.41109272,69.72335412,103.1621056,120.4299006
133,0.956195301,52.01702436,69.19911838,102.3864507,119.5244126
134,0.949059515,51.62883761,68.68270705,101.6223727,118.6324394
135,0.942029444,51.24640177,68.17394625,100.8696144,117.7536805
136,0.935102757,50.86959,67.67266724,100.127926,116.8878447
137,0.92827719,50.49827912,67.17870616,99.39706524,116.0346487
138,0.921550543,50.13234956,66.69190394,98.67679665,115.1938179
139,0.914920683,49.77168518,66.21210607,97.96689164,114.3650854
140,0.908385536,49.41617314,65.73916246,97.26712813,113.548192
141,0.901943085,49.06570383,65.27292726,96.57729034,112.7428856
142,0.895591373,48.7201707,64.81325876,95.89716858,111.9489216
143,0.889328496,48.37947021,64.36001919,95.226559,111.1660621
144,0.883152604,48.04350166,63.91307461,94.56526346,110.3940755
145,0.877061897,47.71216717,63.47229479,93.91308923,109.6327371
146,0.871054623,47.3853715,63.03755304,93.26984889,108.8818279
147,0.865129082,47.06302204,62.60872615,92.63536012,108.1411352
148,0.859283615,46.74502865,62.18569422,92.00944553,107.4104519
149,0.853516611,46.43130362,61.76834056,91.39193247,106.6895763
150,0.8478265,46.1217616,61.35655163,90.78265292,105.9783125
151,0.842211755,45.81631947,60.95021685,90.1814433,105.2764694
152,0.836670888,45.51489631,60.54922858,89.58814433,104.583861
153,0.831202451,45.21741333,60.15348199,89.0026009,103.9003064
154,0.825805032,44.92379376,59.76287496,88.42466193,103.2256291
155,0.820477258,44.63396284,59.37730803,87.85418024,102.5596573
156,0.815217788,44.34784769,58.99668426,87.29101242,101.9022236
157,0.810025318,44.06537732,58.6209092,86.73501871,101.2531648
158,0.804898576,43.78648253,58.24989079,86.1860629,100.612322
159,0.799836321,43.51109585,57.88353927,85.64401219,99.97954009
160,0.794837344,43.2391515,57.52176715,85.10873711,99.35466796
