BveTs Vehicle Performance Table 1.00,,,,,
,,,,,
#,fMax,,,,
91,243.2599642,13233.34205,17604.53649,26047.52848,28487.51335
92,238.0004447,12947.22419,17223.90911,25484.35531,28177.86647
93,232.9096732,12670.28622,16855.49389,24939.25117,27874.87866
94,227.9805075,12402.13961,16498.77396,24411.45126,27578.3374
95,223.2061788,12142.41613,16153.25946,23900.23084,27288.03911
96,218.5802695,11890.76666,15818.48597,23404.90271,27003.7887
97,214.0966908,11646.85998,15494.01282,22924.81489,26725.39913
98,209.749663,11410.38167,15179.42177,22459.34854,26218.70788
99,205.533697,11181.03311,14874.31555,22007.91586,25691.71212
100,201.4435764,10958.53056,14578.31667,21569.95833,25180.44705
101,197.4743421,10742.60421,14291.06624,21144.94494,24684.29276
102,193.6212768,10532.99746,14012.22286,20732.37056,24202.6596
103,189.879891,10329.46607,13741.46165,20331.75449,23734.98638
104,186.2459101,10131.77751,13478.47325,19942.63899,23280.73877
105,182.715262,9939.710254,13222.96296,19564.58806,22839.40775
106,179.2840658,9753.053182,12974.64993,19197.18613,22410.50823
107,175.9486212,9571.604992,12733.26637,18840.03698,21993.57765
108,172.7053981,9395.173659,12498.55681,18492.76263,21588.17477
109,169.551028,9223.575924,12270.27747,18155.00238,21193.8785
110,166.4822945,9056.636823,12048.19559,17826.41185,20810.28682
111,163.4961256,8894.189234,11832.08885,17506.66207,20437.0157
112,160.5895858,8736.073466,11621.74479,17195.43872,20073.69822
113,157.7598687,8582.136859,11416.96035,16892.44133,19719.98359
114,155.0042909,8432.233422,11217.54129,16597.38253,19375.53636
115,152.3202846,8286.223482,11023.30183,16309.9874,19040.03558
116,149.7053927,8143.973362,10834.06411,16029.99282,18713.17408
117,147.1572623,8005.35507,10649.65788,15757.14686,18394.65779
118,144.67364,7870.246018,10469.92004,15491.20823,18084.205
119,142.2523666,7738.528745,10294.69435,15231.94572,17781.54583
120,139.8913725,7610.090664,10123.83102,14979.13773,17486.42156
121,137.5886732,7484.82382,9957.18644,14732.57177,17198.58415
122,135.3423652,7362.624668,9794.622861,14492.04403,16917.79565
123,133.1506222,7243.39385,9636.008108,14257.35894,16643.82778
124,131.0116912,7127.036001,9481.215314,14028.32878,16376.4614
125,128.9238889,7013.459556,9330.122667,13804.77333,16115.48611
126,126.8855986,6902.576566,9182.613169,13586.51948,15860.69983
127,124.8952672,6794.302533,9038.57441,13373.40091,15611.90839
128,122.9514016,6688.556247,8897.898356,13165.25777,15368.9252
129,121.0525668,6585.259633,8760.481141,12961.93638,15131.57085
130,119.1973825,6484.337607,8626.22288,12763.28895,14899.67281
131,117.3845209,6385.717939,8495.027485,12569.17332,14673.06512
132,115.6127045,6289.331127,8366.802495,12379.45267,14451.58807
133,113.8807035,6195.110269,8241.45891,12193.99533,14235.08794
134,112.1873337,6102.990953,8118.911042,12012.6745,14023.41671
135,110.5314548,6012.911142,7999.07636,11835.36808,13816.43185
136,108.9119682,5924.81107,7881.87536,11661.95844,13613.99603
137,107.3278152,5838.633148,7767.231428,11492.33221,13415.9769
138,105.7779754,5754.321863,7655.070713,11326.38014,13222.24693
139,104.2614649,5671.823692,7545.322016,11163.99686,13032.68312
140,102.7773349,5591.087018,7437.916667,11005.08078,12847.16686
141,101.32467,5512.062047,7332.788424,10849.53389,12665.58375
142,99.90258698,5434.700732,7229.873372,10697.26162,12487.82337
143,98.51023345,5358.9567,7129.109818,10548.17269,12313.77918
144,97.14678645,5284.785183,7030.438207,10402.17898,12143.34831
145,95.81145131,5212.142952,6933.801031,10259.1954,11976.43141
146,94.50346049,5140.988251,6839.142741,10119.13977,11812.93256
147,93.22207246,5071.280742,6746.409675,9981.932682,11652.75906
148,91.96657067,5002.981444,6655.549976,9847.497413,11495.82133
149,90.73626251,4936.05268,6566.51352,9715.759801,11342.03281
150,89.5304784,4870.458025,6479.251852,9586.648148,11191.3098
151,88.34857085,4806.162254,6393.718112,9460.093125,11043.57136
152,87.1899136,4743.1313,6309.866978,9336.027672,10898.7392
153,86.0539008,4681.332204,6227.654606,9214.386917,10756.7376
154,84.93994619,4620.733073,6147.038567,9095.108085,10617.49327
155,83.84748237,4561.303041,6067.977801,8978.13042,10480.9353
156,82.77596005,4503.012227,5990.432555,8863.395107,10346.99501
157,81.72484741,4445.831699,5914.364342,8750.8452,10215.60593
158,80.69362938,4389.733438,5839.735886,8640.425546,10086.70367
159,79.68180704,4334.690303,5766.511082,8532.082724,9960.225881
160,78.68889703,4280.675998,5694.654948,8425.764974,9836.112128
