BveTs Vehicle Performance Table 1.00,,,,,
#,f,,,,
42,1141.970388,25088.21098,30991.31944,30991.31944,30991.31944
43,1089.473101,24504.76421,30270.59109,30991.31944,30991.31944
44,1040.514341,23947.83775,29582.62311,30991.31944,30991.31944
45,994.7830933,23415.66358,28925.23148,30991.31944,30991.31944
46,952.0017788,22906.62742,28296.4221,30991.31944,30991.31944
47,911.9220298,22419.25236,27694.37057,30991.31944,30991.31944
48,874.3210781,21952.18461,27117.40451,30991.31944,30991.31944
49,838.9986522,21504.18084,26563.9881,30991.31944,30991.31944
50,805.7743056,21074.09722,26032.70833,30991.31944,30991.31944
51,774.4851072,20660.87963,25522.26307,30991.31944,30991.31944
52,744.9836405,20263.55502,25031.45032,30991.31944,30991.31944
53,717.1362634,19881.22379,24559.15881,30991.31944,30991.31944
54,690.8215926,19513.05298,24104.35957,30991.31944,30991.31944
55,665.9291781,19158.2702,23666.09848,30991.31944,30991.31944
56,642.3583431,18816.15823,23243.48958,30991.31944,30991.31944
57,620.0171634,18486.05019,22835.70906,30991.31944,30991.31944
58,598.8215707,18167.32519,22441.98994,30991.31944,30991.31944
59,578.6945602,17859.40443,22061.61723,30466.04284,30991.31944
60,559.56549,17561.74769,21693.92361,29958.27546,30991.31944
61,541.3694609,17273.85018,21338.28552,29467.15619,30991.31944
62,524.0467648,16995.2397,20994.11962,28991.87948,30991.31944
63,507.5423945,16725.47399,20660.87963,28531.69092,30991.31944
64,491.8056064,16464.13845,20338.05339,28085.88325,30991.31944
65,476.7895299,16210.84402,20025.16026,27653.79274,30991.31944
66,462.4508182,15965.22517,19721.74874,27234.79588,30521.754
67,448.7493348,15726.93823,19427.39428,26828.30638,30066.20543
68,435.6478728,15495.65972,19141.6973,26433.77247,29624.05535
69,423.1119017,15271.08494,18864.2814,26050.67432,29194.72122
70,411.1093396,15052.92659,18594.79167,25678.52183,28777.65377
71,399.6103479,14840.91354,18332.89319,25316.8525,28372.3347
72,388.5871458,14634.78974,18078.26968,24965.22955,27978.2745
73,378.013842,14434.31317,17830.62215,24623.24011,27595.01046
74,367.8662827,14239.25488,17589.66779,24290.49362,27222.10492
75,358.1219136,14049.39815,17355.13889,23966.62037,26859.14352
76,348.7596544,13864.53765,17126.7818,23651.2701,26505.73374
77,339.7597848,13684.47872,16904.35606,23344.11075,26161.50343
78,331.1038402,13509.03668,16687.63355,23044.82728,25826.09954
79,322.7745175,13338.03622,16476.39768,22753.1206,25499.18688
80,314.7555881,13171.31076,16270.44271,22468.7066,25180.44705
81,307.0318189,13008.70199,16069.57305,22191.31516,24869.57733
82,299.5889,12850.05928,15873.60264,21920.68936,24566.2898
83,292.4133784,12695.23929,15682.35442,21656.58467,24270.31041
84,285.4925969,12544.10549,15495.65972,21398.76819,23981.37814
85,278.8146386,12396.52778,15313.35784,21147.01797,23699.24428
86,272.3682753,12252.38211,15135.29554,20901.12242,23423.67167
87,266.1429203,12111.55013,14961.32663,20660.87963,23154.43407
88,260.1285852,11973.91888,14791.31155,20426.09691,22891.3155
89,254.3158394,11839.38046,14625.11704,20196.5902,22634.10971
90,248.6957733,11707.83179,14462.61574,19972.18364,22382.6196
91,243.2599642,11579.1743,14303.6859,19752.7091,22136.65675
92,238.0004447,11453.31371,14148.21105,19538.00574,21896.04091
93,232.9096732,11330.1598,13996.07975,19327.91965,21660.59961
94,227.9805075,11209.62618,13847.18528,19122.30349,21430.1677
95,223.2061788,11091.63012,13701.42544,18921.01608,21204.58699
96,218.5802695,10976.0923,13558.70226,18723.92216,20983.70587
97,214.0966908,10862.93671,13418.92182,18530.89204,20767.37901
98,209.749663,10752.09042,13281.99405,18341.8013,20555.46698
99,205.533697,10643.48345,13147.83249,18156.53058,20347.836
100,201.4435764,10537.04861,13016.35417,17974.96528,20144.35764
101,197.4743421,10432.7214,12887.47937,17796.99532,19944.90855
102,193.6212768,10330.43981,12761.13154,17622.51498,19749.37023
103,189.879891,10230.14428,12637.23706,17451.4226,19557.62878
104,186.2459101,10131.77751,12515.72516,17283.62046,19369.57465
105,182.715262,9939.710254,12396.52778,17119.01455,19185.10251
106,179.2840658,9753.053182,12279.5794,16957.51441,19004.11098
107,175.9486212,9571.604992,12164.81698,16799.03297,18826.50247
108,172.7053981,9395.173659,12052.17978,16643.48637,18652.183
109,169.551028,9223.575924,11941.60933,16490.79383,18481.06205
110,166.4822945,9056.636823,11833.04924,16340.87753,18313.0524
111,163.4961256,8894.189234,11726.4452,16193.66241,18148.06994
112,160.5895858,8736.073466,11621.74479,16049.07614,17986.03361
113,157.7598687,8582.136859,11416.96035,15907.04892,17826.86517
114,155.0042909,8432.233422,11217.54129,15767.5134,17670.48916
115,152.3202846,8286.223482,11023.30183,15630.40459,17516.83273
116,149.7053927,8143.973362,10834.06411,15495.65972,17365.82555
117,147.1572623,8005.35507,10649.65788,15363.21819,17217.39969
118,144.67364,7870.246018,10469.92004,15233.02142,17071.48952
119,142.2523666,7738.528745,10294.69435,15105.01284,16928.03163
120,139.8913725,7610.090664,10123.83102,14979.13773,16786.9647
121,137.5886732,7484.82382,9957.18644,14732.57177,16648.22945
122,135.3423652,7362.624668,9794.622861,14492.04403,16511.76856
123,133.1506222,7243.39385,9636.008108,14257.35894,16377.52654
124,131.0116912,7127.036001,9481.215314,14028.32878,16245.44971
125,128.9238889,7013.459556,9330.122667,13804.77333,16115.48611
126,126.8855986,6902.576566,9182.613169,13586.51948,15860.69983
127,124.8952672,6794.302533,9038.57441,13373.40091,15611.90839
128,122.9514016,6688.556247,8897.898356,13165.25777,15368.9252
129,121.0525668,6585.259633,8760.481141,12961.93638,15131.57085
130,119.1973825,6484.337607,8626.22288,12763.28895,14899.67281
131,117.3845209,6385.717939,8495.027485,12569.17332,14673.06512
132,115.6127045,6289.331127,8366.802495,12379.45267,14451.58807
133,113.8807035,6195.110269,8241.45891,12193.99533,14235.08794
134,112.1873337,6102.990953,8118.911042,12012.6745,14023.41671
135,110.5314548,6012.911142,7999.07636,11835.36808,13816.43185
136,108.9119682,5924.81107,7881.87536,11661.95844,13613.99603
137,107.3278152,5838.633148,7767.231428,11492.33221,13415.9769
138,105.7779754,5754.321863,7655.070713,11326.38014,13222.24693
139,104.2614649,5671.823692,7545.322016,11163.99686,13032.68312
140,102.7773349,5591.087018,7437.916667,11005.08078,12847.16686
141,101.32467,5512.062047,7332.788424,10849.53389,12665.58375
142,99.90258698,5434.700732,7229.873372,10697.26162,12487.82337
143,98.51023345,5358.9567,7129.109818,10548.17269,12313.77918
144,97.14678645,5284.785183,7030.438207,10402.17898,12143.34831
145,95.81145131,5212.142952,6933.801031,10259.1954,11976.43141
146,94.50346049,5140.988251,6839.142741,10119.13977,11812.93256
147,93.22207246,5071.280742,6746.409675,9981.932682,11652.75906
148,91.96657067,5002.981444,6655.549976,9847.497413,11495.82133
149,90.73626251,4936.05268,6566.51352,9715.759801,11342.03281
150,89.5304784,4870.458025,6479.251852,9586.648148,11191.3098
151,88.34857085,4806.162254,6393.718112,9460.093125,11043.57136
152,87.1899136,4743.1313,6309.866978,9336.027672,10898.7392
153,86.0539008,4681.332204,6227.654606,9214.386917,10756.7376
154,84.93994619,4620.733073,6147.038567,9095.108085,10617.49327
155,83.84748237,4561.303041,6067.977801,8978.13042,10480.9353
156,82.77596005,4503.012227,5990.432555,8863.395107,10346.99501
157,81.72484741,4445.831699,5914.364342,8750.8452,10215.60593
158,80.69362938,4389.733438,5839.735886,8640.425546,10086.70367
159,79.68180704,4334.690303,5766.511082,8532.082724,9960.225881
160,78.68889703,4280.675998,5694.654948,8425.764974,9836.112128
