bvets vehicle performance table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,Field-Ctrl,35%Field
39,16.7241996,18.147528,19.570878,20.99421,21.5635392,23.840874,25.97589,29.53422,32.380902,34.5159,36.295074,40.920912,48.03759,104.259384,114.222726,124.897752,138.419442,153.364464,171.867852,191.7945,218.83788,250.1514,287.15814,333.41652,309.21984,0
40,16.0125318,16.7241996,18.859212,19.570878,20.7095364,22.417542,24.552558,28.110888,30.245886,30.95757,35.583408,37.362564,45.190926,99.277704,108.52938,118.49274,130.591098,144.112788,161.192808,180.40788,202.46958,232.35966,267.23142,309.93138,297.1215,0
41,15.300864,16.0125318,17.4358674,18.859212,19.8555336,21.705876,23.840874,25.97589,26.687556,30.245886,32.380902,35.939232,43.055928,95.00769,102.836034,112.087728,123.830244,136.284426,151.941132,169.02117,189.65952,213.8562,243.74628,284.31144,286.44642,0
42,14.5891962,15.300864,16.7241996,18.147528,19.0015308,20.99421,21.705876,24.552558,25.97589,29.53422,30.601728,33.804234,40.209246,90.737676,98.566038,107.106048,117.781074,129.167748,142.689456,159.05781,178.272864,201.04632,227.37798,262.24974,274.34808,0
43,13.8775284,14.9450292,16.0125318,16.7241996,18.147528,19.570878,21.705876,22.773384,25.264224,27.755064,28.822554,33.092568,38.074248,86.46768,93.584358,102.124368,111.376062,122.762736,133.43778,149.806134,166.174488,187.52454,210.29796,241.6113,265.09644,0
44,13.5216936,14.5891962,15.300864,16.0125318,17.55447195,19.570878,20.282544,22.417542,24.196716,26.687556,28.110888,30.245886,32.380902,82.909332,88.602678,97.142688,106.394382,115.646058,126.321084,141.266124,156.922812,176.137866,196.77618,225.243,254.42136,0
45,13.1658588,13.8775284,14.5891962,16.0125318,16.9614159,17.4358674,19.570878,20.99421,22.417542,25.264224,27.399222,29.53422,32.736726,79.350984,85.756014,92.872692,101.412702,109.952712,120.627738,132.726096,146.95947,164.751156,185.38956,209.58624,243.03456,0
46,12.454191,13.1658588,13.8775284,15.300864,16.36835985,17.4358674,18.859212,19.570878,22.061718,23.129208,25.264224,27.399222,33.092568,75.792654,82.197648,88.602678,96.431022,104.97105,114.934392,126.321084,139.486932,155.499462,173.291184,194.6412,232.71552,0
47,12.454191,13.1658588,13.8775284,14.5891962,15.7753038,16.7241996,18.147528,19.215036,20.282544,22.417542,23.840874,26.687556,29.53422,72.945972,78.639318,85.044348,92.161026,99.98937,110.486466,119.916072,131.658588,145.53612,162.61614,182.187,227.37798,0
48,11.7425232,12.454191,13.1658588,13.8775284,15.18224775,16.0125318,16.7241996,18.50337,19.570878,21.705876,22.417542,24.552558,26.331714,70.0992,75.080988,81.486,87.891012,95.719356,106.03854,113.51106,124.897752,137.707776,153.364464,171.51201,218.12634,0
49,11.7425232,12.098358,12.454191,13.1658588,14.5891917,15.300864,16.0125318,17.4358674,18.859212,20.282544,22.417542,24.552558,27.399222,67.252626,72.234306,77.927652,84.332664,91.449342,101.590614,107.817714,118.49274,130.591098,144.824454,160.481142,211.72122,0
50,1,11.7425232,12.454191,13.1658588,13.99613565,14.5891962,15.300864,16.7241996,18.147528,18.859212,20.282544,23.129208,24.552558,65.117628,70.09929,74.369304,80.774316,87.179346,97.142688,102.836034,112.799394,123.118578,135.928602,151.229466,203.89284,0
51,1,11.0308554,11.7425232,12.454191,13.4030796,13.8775284,14.9450292,16.0125318,16.7241996,18.147528,19.570878,21.350052,23.840874,62.98263,67.252626,71.52264,77.215986,83.620998,92.694762,97.854372,107.106048,117.06939,128.456082,142.333614,198.19962,0
52,1,1,11.0308554,12.098358,12.81002355,13.8775284,14.5891962,15.300864,16.7241996,18.147528,18.859212,20.99421,24.196716,60.847614,64.405962,69.387642,73.657656,80.06265,88.246836,93.584358,102.124368,111.376062,122.05107,134.861094,188.9478,0
53,1,1,11.0308554,11.7425232,12.2169675,13.1658606,13.8775284,14.5891962,16.0125318,16.7241996,18.147528,19.570878,20.99421,58.712616,62.270964,66.54096,71.52264,77.215986,83.79891,89.314344,97.142688,106.394382,116.357724,127.03275,186.10128,639.07794
54,1,1,1,11.0308554,11.62391145,12.454191,13.1658588,13.8775284,14.5891962,16.3683648,17.4358674,18.859212,22.061718,56.577618,60.135948,64.405962,68.675976,73.657656,79.350984,85.756014,92.872692,101.412702,109.952712,120.627738,179.340372,563.28534
55,1,1,1,10.3191876,11.0308554,12.454191,13.1658588,13.8775284,14.5891962,15.656697,16.7241996,17.4358674,19.215036,54.442602,58.00095,62.2709568,65.829312,70.810974,76.148478,82.197666,88.602678,96.431022,104.97105,114.934392,174.00285,503.50518
56,1,1,1,9.6075198,1,11.7425232,12.454191,13.1658588,13.8775284,15.300864,16.0125318,17.4358674,18.859212,52.663437,55.865952,60.1359516,63.694296,67.964292,72.945972,78.639318,85.044348,92.161026,99.98937,109.241046,169.02117,455.82336
57,1,1,1,1,1,11.0308554,12.098358,12.454191,13.1658588,14.5891962,15.300864,16.3683648,20.99421,50.884272,53.730954,58.0009464,61.55928,65.59206601,69.743466,75.080988,81.486,87.891012,95.719356,103.5477,162.61614,410.63256
58,1,1,1,1,1,11.0308554,11.7425232,12.454191,13.1658588,13.877532,15.300864,16.0125318,20.282544,49.46094,52.307604,55.8659412,59.424264,63.21983999,1,72.234306,77.927652,84.332664,91.449342,98.566038,158.346144,375.40494
59,1,1,1,1,1,1,11.0308554,11.7425232,12.454191,13.1658588,13.8775284,14.5891962,18.147528,48.03759,50.172588,53.730936,57.289266,60.847614,1,70.09929,74.369304,80.774316,87.179346,94.296024,151.941132,336.97476
60,1,1,1,1,1,1,1,11.0308554,12.454191,13.1658588,13.8775284,14.5891962,15.300864,46.61424,48.749256,51.595956,55.154268,58.712616,1,67.252626,71.52264,77.215986,83.620998,90.02601,150.5178,313.4898
61,1,1,1,1,1,1,1,11.0308554,11.7425232,12.454191,13.1658588,13.8775284,18.147528,1,47.325924,50.172606,53.01927,56.577618,1,64.405962,69.387642,73.657656,80.06265,86.46768,145.53612,286.44642
62,1,1,1,1,1,1,1,1,11.0308554,11.7425232,12.454191,13.1658588,13.8775284,1,45.902592,48.749256,1,55.154268,1,62.270964,66.54096,70.810974,76.50432,82.909314,141.97779,265.09644
63,1,1,1,1,1,1,1,1,1,11.7425232,12.454191,13.1658588,14.5891962,1,44.47926,47.325924,1,53.01927,1,60.135966,63.694296,68.675976,73.657656,79.350984,136.284426,244.458
64,1,1,1,1,1,1,1,1,1,11.0308554,11.7425232,12.454191,15.300864,1,1,45.902592,1,51.35871001,1,58.000968,61.55928,65.829294,70.810974,75.792654,133.437762,225.95454
65,1,1,1,1,1,1,1,1,1,10.3191876,11.7425232,12.098358,14.5891962,1,1,1,1,49.69814999,1,55.865952,59.424282,62.982612,67.964292,72.945972,130.235256,211.0095
66,1,1,1,1,1,1,1,1,1,1,11.0308554,11.7425232,13.8775284,1,1,1,1,48.03759,1,54.44262,57.289284,60.847614,65.117628,70.099308,127.744416,196.06464
67,1,1,1,1,1,1,1,1,1,1,10.3191876,11.0308554,13.5216936,1,1,1,1,46.614258,1,52.307604,55.154286,58.712616,62.982612,67.252626,124.897752,184.67784
68,1,1,1,1,1,1,1,1,1,1,1,10.3191876,12.454191,1,1,1,1,45.190926,1,50.172588,53.730936,56.933442,60.847614,65.117628,117.781074,173.291184
69,1,1,1,1,1,1,1,1,1,1,1,9.6075198,12.454191,1,1,1,1,1,1,48.749256,51.595956,55.154268,58.712616,62.98263,116.357724,161.904474
70,1,1,1,1,1,1,1,1,1,1,1,1,12.454191,1,1,1,1,1,1,47.325924,50.172606,53.37504,56.577618,60.49179,112.087728,153.364464
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45.902592,48.749256,51.595938,55.154268,58.00095,110.308554,144.112788
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44.47926,47.325924,50.172606,53.01927,56.221776,106.394382,136.284426
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45.902592,48.749256,50.884272,54.442602,105.682716,128.456082
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47.325906,49.46094,52.307604,104.259384,122.05107
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48.03759,50.884272,100.701036,115.646058
76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46.614258,49.46094,98.566038,109.952712
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45.190926,48.037608,95.00769,104.97105
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94.296024,99.277704
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91.44936,95.00769
80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86.46768,90.737676
81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85.756014,87.179346
82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85.756014,83.620998
83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80.774316,80.06265
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80.06265,76.50432
85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,77.215986,73.657656
86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,77.927652,70.810974
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,73.657656,67.252626
88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71.52264,65.117628
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70.810974,62.98263
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70.810974,60.847614
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.712616
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56.577618
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.44262
94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.01927
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50.88429
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49.46094
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48.03759
98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46.614258
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45.190926
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43.767594
